method,method_label,direction,mean_tpr_at_fpr_1e-2,mean_tpr_at_fpr_1e-3,mean_tpr_at_fpr_1e-4
B1,M1 CE+SupCon,S1->S2,0.8666542627313802,0.6776216683695876,0.48180859218135863
B5,M4 BNNeck+CE,S1->S2,0.890819832439267,0.7491957219945258,0.5719778200628053
B6,M6 BNNeck+ArcFace,S1->S2,0.8608702073483219,0.6896857546068489,0.49157212895771457
B1,M1 CE+SupCon,S2->S1,0.904954860738903,0.7557087131167162,0.5828372148715917
B5,M4 BNNeck+CE,S2->S1,0.8644154326218795,0.7019364139634398,0.54165733923731
B6,M6 BNNeck+ArcFace,S2->S1,0.8630565451210392,0.7024115435014803,0.5332139641721512
