method,dataset,direction,seed,rank1,rank5,macro_f1,eer,tar_far_1e_2,tar_far_1e_3
M1,IITD,within,42,0.9710144996643066,0.9855072498321533,0.9690993788819876,0.04341736694677867,0.9173669467787114,0.7857142857142857
M1,IITD,within,2026,0.97826087474823,0.989130437374115,0.9766563146997932,0.027888446215139365,0.953519256308101,0.8738379814077025
M1,IITD,within,2705,0.9855072498321533,0.9927536249160767,0.9851966873706005,0.020161656525163173,0.9738292011019284,0.9256198347107438
M6,IITD,within,42,0.9601449370384216,0.9818840622901917,0.9583074534161492,0.04604918890580201,0.9215686274509803,0.8249299719887955
M6,IITD,within,2026,0.9927536249160767,0.9927536249160767,0.9925465838509318,0.031872509960111955,0.9389110225763613,0.8406374501992032
M6,IITD,within,2705,0.9855072498321533,0.9927536249160767,0.9850931677018634,0.019283746556488554,0.9710743801652892,0.8980716253443526
