method,method_label,palmprint_specific,learned,direction,seed,rank1_pp,rank5_pp,macro_f1_pp,eer_pp,tar_far_1e_2_pp,tar_far_1e_3_pp,comment,metrics_path,scores_path
B8,ResNet18 + CosFace,No,Yes,S1->S2,42,92.00000166893005,96.83333039283752,91.06931980403218,5.026820728339311,86.85833333333333,70.35,Generic learned margin-loss baseline; not palmprint-specific.,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed42/scores.csv
B8,ResNet18 + CosFace,No,Yes,S1->S2,2026,94.66666579246521,97.33333587646484,94.1431460784731,4.97310924365258,87.93333333333334,72.3,Generic learned margin-loss baseline; not palmprint-specific.,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B8,ResNet18 + CosFace,No,Yes,S1->S2,2705,90.41666388511658,94.0833330154419,88.97159193994794,5.45,86.575,72.45833333333334,Generic learned margin-loss baseline; not palmprint-specific.,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B8,ResNet18 + CosFace,No,Yes,S2->S1,42,94.41666603088379,97.50000238418579,93.86192570304665,4.349999999999996,90.09166666666667,76.48333333333333,Generic learned margin-loss baseline; not palmprint-specific.,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed42/scores.csv
B8,ResNet18 + CosFace,No,Yes,S2->S1,2026,92.58333444595337,95.6666648387909,91.43368145200365,5.075000000002326,88.425,74.625,Generic learned margin-loss baseline; not palmprint-specific.,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed2026/metrics.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B8,ResNet18 + CosFace,No,Yes,S2->S1,2705,91.66666865348816,95.24999856948853,90.4292443026206,5.108333333344916,87.02499999999999,72.75,Generic learned margin-loss baseline; not palmprint-specific.,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b8_resnet18_cosface_tongji_subject_disjoint_s2s1_seed2705/scores.csv
