comparison,direction,n_paired_seeds,interpretation,delta_genuine_mean,delta_genuine_mean_std,delta_genuine_q001,delta_genuine_q001_std,delta_impostor_mean,delta_impostor_mean_std,delta_impostor_q999,delta_impostor_q999_std,delta_impostor_q9999,delta_impostor_q9999_std,delta_dprime,delta_dprime_std,delta_tar_far_1e_3_pp,delta_tar_far_1e_3_pp_std,delta_eer_pp,delta_eer_pp_std
B5 minus B1,S1->S2,3,BNNeck+CE improves low-FAR TAR in this direction.,-0.05723090834497994,0.023990024262482694,-0.01926133883926859,0.004102794993837844,-0.010564926301128865,0.0037482669942963207,-0.09394857834776137,0.04391998801196018,-0.0963221645921488,0.04364865377379458,-0.08227377270984777,0.0611580153817188,7.163888886666669,4.106366444622121,-0.051120446666666375,0.46942026140138793
B5 minus B1,S2->S1,3,BNNeck+CE gain does not transfer to the reverse direction.,-0.04311287083688189,0.002216854777518207,-0.06076871252112315,0.019625160520555275,-0.007573490162903478,0.003492431340587744,-0.019894031802816108,0.0298982514242738,-0.02361270022690561,0.03658461518287999,-0.28759288769352737,0.10284611011385571,-5.3999999999999915,6.022256174313375,0.9912231566666665,0.2820912308724832
B6 minus B1,S1->S2,3,BNNeck+ArcFace shows only direction-limited low-FAR behavior.,-0.07185547115499014,0.0189440561930864,-0.013374985798572459,0.03324327983839414,-0.002798737064615016,0.00973346416270981,-0.08214397405584845,0.05776672467838399,-0.07898603768746172,0.045449045161407645,-0.2869673836416455,0.14073517263371504,1.194444443333334,8.490093624345807,0.8519141000000006,0.7368332325920075
B6 minus B1,S2->S1,3,BNNeck+ArcFace degrades the reverse-direction low-FAR result.,-0.06250870435215457,0.005597446918411279,-0.0743255812581628,0.013774220957534649,-0.0037752609881615217,0.001519393775994189,-0.042593708882731195,0.04162165208200589,-0.045504808311661094,0.04682737828882156,-0.3993584673476403,0.1911610948302475,-5.330555553333336,9.724162107691212,1.17761438,0.8438327867180775
