method,method_label,direction,seed,status,Rank-1,Rank-5,Macro-F1,EER,TAR@FAR=1e-2,TAR@FAR=1e-3,config,metrics_path
B5,ResNet18 + BNNeck + CE,S1->S2,2705,OK,0.9474999905,0.9800000191,0.942251169,0.039,0.91325,0.7931666666666667,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B5,ResNet18 + BNNeck + CE,S2->S1,42,OK,0.9583333135,0.9858333468,0.9559526159,0.0455,0.8904166666666666,0.7536666666666667,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42/metrics.json
B5,ResNet18 + BNNeck + CE,S2->S1,2026,OK,0.9183333516,0.9599999785,0.9098826752,0.0529082633,0.84825,0.6715,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B5,ResNet18 + BNNeck + CE,S2->S1,2705,OK,0.9275000095,0.9633333087,0.916932416,0.05175,0.8561666666666666,0.6831666666666667,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S1->S2,42,OK,0.9049999714,0.9508333206,0.8938464429,0.05725,0.8465833333333334,0.6588333333333334,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S1->S2,2026,OK,0.9341666698,0.9666666389,0.9275814537,0.0491771709,0.88475,0.7431666666666666,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S1->S2,2705,OK,0.9075000286,0.9441666603,0.9007805071,0.054,0.8525,0.67,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S2->S1,42,OK,0.9141666889,0.9608333111,0.9060566362,0.05625,0.8404166666666667,0.6796666666666666,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S2->S1,2026,OK,0.948333323,0.9750000238,0.9420515709,0.0454166667,0.8923333333333333,0.758,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B6,ResNet18 + BNNeck + ArcFace,S2->S1,2705,OK,0.9233333468,0.9599999785,0.9140043732,0.0540833333,0.8578333333333333,0.67275,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,42,OK,0.9108333588,0.9608333111,0.8996183258,0.0515833333,0.8518333333333333,0.6778333333333333,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed42.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed42/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,2026,OK,0.9399999976,0.9758333564,0.9317558879,0.04725,0.8861666666666667,0.7579166666666667,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2026.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2026/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,2705,OK,0.8758333325,0.9283333421,0.8616476113,0.061,0.82025,0.6089166666666667,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,42,OK,0.9350000024,0.9708333611,0.9256992713,0.0456694678,0.882,0.72075,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,2026,OK,0.9524999857,0.9708333611,0.946211022,0.0393683473,0.9118333333333334,0.7955,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026/metrics.json
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,2705,OK,0.9333333373,0.9708333611,0.9258979587,0.0474166667,0.8703333333333333,0.7036666666666667,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705.yaml,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705/metrics.json
