direction,seed,delta_rank1_b6_minus_b1,delta_rank5_b6_minus_b1,delta_macro_f1_b6_minus_b1,delta_eer_b6_minus_b1,delta_tar_far_1e_2_b6_minus_b1,delta_tar_far_1e_3_b6_minus_b1
s1_to_s2,42,0.03333330154418945,0.016666650772094727,0.03912468749921516,0.0005000000000019086,0.029166666666666674,0.05991666666666662
s1_to_s2,2026,0.004999995231628418,-0.0025000572204589844,0.004880765267608389,0.010066526611275294,0.0035833333333333828,0.062000000000000055
s1_to_s2,2705,-0.04249995946884155,-0.03750002384185791,-0.04567382868087866,0.014990896358846047,-0.050249999999999906,-0.08608333333333329
s2_to_s1,42,-0.04083329439163208,-0.022500038146972656,-0.04643411637678052,0.017976890755212062,-0.06991666666666663,-0.0824166666666667
s2_to_s1,2026,0.011666655540466309,-0.0016666650772094727,0.010643329979418525,0.0021666666666695436,0.0050000000000000044,0.0551666666666667
s2_to_s1,2705,-0.037499964237213135,-0.01250004768371582,-0.04098967957081423,0.01518487394991265,-0.06099999999999994,-0.1326666666666667
