dataset,method,method_label,direction,seed,status,target_far,selected_threshold,empirical_far,tar,num_genuine,num_impostor,total_pairs,min_far_step,reported_tar,delta_conservative_minus_reported_pp,nearest_threshold,nearest_empirical_far,nearest_tar,nearest_exceeds_target,nearest_minus_target_far,roc_points,nearest_eer,nearest_eer_threshold,interpolated_eer,eer_interpolation_status,verdict,metrics_path,scores_path
Tongji,B0,ResNet18 + CE,S2->S1,2705,OK,0.01,0.3103054761886596,0.009969187675070029,0.8678333333333333,12000,1428000,1440000,7.002801120448179e-07,0.8678333333333333,0.0,0.3102103769779205,0.009987394957983193,0.8678333333333333,False,-1.2605042016807302e-05,36280,0.04659838935574229,0.2263344377279281,0.04661344537934345,brentq_interp1d,PASS,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/scores.csv
Tongji,B0,ResNet18 + CE,S2->S1,2705,OK,0.001,0.4100295901298523,0.0009992997198879552,0.7088333333333333,12000,1428000,1440000,7.002801120448179e-07,0.7088333333333333,0.0,0.4100431501865387,0.0009992997198879552,0.70875,False,-7.002801120448501e-07,36280,0.04659838935574229,0.2263344377279281,0.04661344537934345,brentq_interp1d,PASS,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/scores.csv
Tongji,B1,ResNet18 + CE + SupCon,S1->S2,42,OK,0.01,0.4362082183361053,0.009988095238095239,0.8175,12000,1428000,1440000,7.002801120448179e-07,0.8175,0.0,0.4362087547779083,0.009988095238095239,0.8174166666666667,False,-1.1904761904761585e-05,37854,0.05675560224089635,0.3074179589748382,0.05674999999999821,brentq_interp1d,PASS,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv
Tongji,B1,ResNet18 + CE + SupCon,S1->S2,42,OK,0.001,0.5512232184410095,0.001,0.5988333333333333,12000,1428000,1440000,7.002801120448179e-07,0.5988333333333333,0.0,0.5512485504150391,0.001,0.5986666666666667,False,0.0,37854,0.05675560224089635,0.3074179589748382,0.05674999999999821,brentq_interp1d,PASS,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv
Tongji,B1,ResNet18 + CE + SupCon,S1->S2,2026,OK,0.01,0.3501259386539459,0.009995798319327731,0.8811666666666667,12000,1428000,1440000,7.002801120448179e-07,0.8811666666666667,0.0,0.3501317203044891,0.009995798319327731,0.8810833333333333,False,-4.201680672269101e-06,35522,0.03909698879551822,0.2642596364021301,0.03911064425774779,brentq_interp1d,PASS,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/scores.csv
Tongji,B1,ResNet18 + CE + SupCon,S1->S2,2026,OK,0.001,0.4658132493495941,0.001,0.681,12000,1428000,1440000,7.002801120448179e-07,0.681,0.0,0.4658560454845428,0.001,0.6809166666666666,False,0.0,35522,0.03909698879551822,0.2642596364021301,0.03911064425774779,brentq_interp1d,PASS,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/scores.csv
Tongji,B1,ResNet18 + CE + SupCon,S1->S2,2705,OK,0.01,0.3335625231266022,0.01,0.90275,12000,1428000,1440000,7.002801120448179e-07,0.90275,0.0,0.3335705399513244,0.01,0.9026666666666666,False,0.0,34154,0.03900455182072831,0.2522293627262115,0.03900910364148082,brentq_interp1d,PASS,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/scores.csv
Tongji,B1,ResNet18 + CE + SupCon,S1->S2,2705,OK,0.001,0.4436135292053222,0.001,0.75625,12000,1428000,1440000,7.002801120448179e-07,0.75625,0.0,0.4436342418193817,0.001,0.7560833333333333,False,0.0,34154,0.03900455182072831,0.2522293627262115,0.03900910364148082,brentq_interp1d,PASS,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/scores.csv
Tongji,B1,ResNet18 + CE + SupCon,S2->S1,42,OK,0.01,0.3326766490936279,0.009990896358543418,0.9104166666666667,12000,1428000,1440000,7.002801120448179e-07,0.9104166666666668,-1.1102230246251565e-14,0.332680195569992,0.009990896358543418,0.91025,False,-9.103641456582184e-06,34404,0.03826155462184874,0.2562992870807647,0.0382731092447879,brentq_interp1d,PASS,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/scores.csv
Tongji,B1,ResNet18 + CE + SupCon,S2->S1,42,OK,0.001,0.4318529069423675,0.0009992997198879552,0.762,12000,1428000,1440000,7.002801120448179e-07,0.762,0.0,0.4318840205669403,0.0009992997198879552,0.7619166666666667,False,-7.002801120448501e-07,34404,0.03826155462184874,0.2562992870807647,0.0382731092447879,brentq_interp1d,PASS,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/scores.csv
