method,method_label,direction,seed,run_name,num_genuine_pairs,num_impostor_pairs,genuine_mean,genuine_std,impostor_mean,impostor_std,impostor_q0.990,impostor_q0.999,genuine_q0.001,genuine_q0.010,d_prime
B0,ResNet18 + CE,S1->S2,42,b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42,12000,1428000,0.4961636960506439,0.171818345785141,0.027486877515912056,0.12028028815984726,0.33063507080078125,0.4344416558742523,-0.02968435175716877,0.07868267595767975,3.1602174086810098
B0,ResNet18 + CE,S1->S2,2026,b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026,12000,1428000,0.500540018081665,0.15978224575519562,0.02649705298244953,0.1104847714304924,0.3083021342754364,0.4088439345359802,0.05417867377400398,0.12222936004400253,3.451020783672731
B0,ResNet18 + CE,S1->S2,2705,b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705,12000,1428000,0.5145373940467834,0.15674720704555511,0.040017031133174896,0.10062603652477264,0.29111355543136597,0.38629019260406494,0.04696694388985634,0.1351112276315689,3.602754048743572
B0,ResNet18 + CE,S2->S1,42,b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42,12000,1428000,0.4858977794647217,0.15759828686714172,0.027179790660738945,0.10762812942266464,0.29798105359077454,0.39407119154930115,0.01410130225121975,0.1062023714184761,3.3992619429185393
B0,ResNet18 + CE,S2->S1,2026,b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026,12000,1428000,0.49433255195617676,0.15658901631832123,0.029946139082312584,0.10733209550380707,0.3035587966442108,0.3990243077278137,0.01866278238594532,0.12182805687189102,3.4593962570424144
B0,ResNet18 + CE,S2->S1,2705,b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705,12000,1428000,0.5038357973098755,0.16206569969654083,0.03721147030591965,0.10724730044603348,0.3101353645324707,0.4099934995174408,0.054281484335660934,0.13588199019432068,3.395662762889704
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,12000,1428000,0.5756217241287231,0.15465281903743744,0.032082535326480865,0.161577507853508,0.43615785241127014,0.5512222051620483,0.015713363885879517,0.1683715283870697,3.4367919484951126
B1,ResNet18 + CE + SupCon,S1->S2,2026,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026,12000,1428000,0.5447792410850525,0.15683183073997498,0.030868416652083397,0.12171560525894165,0.35010233521461487,0.4658125638961792,0.04714712128043175,0.1806609034538269,3.660956110155496
B1,ResNet18 + CE + SupCon,S1->S2,2705,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705,12000,1428000,0.5499129891395569,0.1567430943250656,0.0272319708019495,0.11820995807647705,0.33356180787086487,0.4436054825782776,-0.005187015049159527,0.14744353294372559,3.76517051451657
B1,ResNet18 + CE + SupCon,S2->S1,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42,12000,1428000,0.5373873114585876,0.14935731887817383,0.0258148442953825,0.12206468731164932,0.33262717723846436,0.43182075023651123,0.055909957736730576,0.16923362016677856,3.7506584627184476
