method,dataset,direction,seed,num_genuine_pairs,num_impostor_pairs,genuine_mean,genuine_std,impostor_mean,impostor_std,impostor_q0.990,impostor_q0.999,genuine_q0.001,genuine_q0.010,d_prime
M0,Tongji,S1->S2,42,12000,1428000,0.4961636960506439,0.171818345785141,0.027486877515912056,0.12028028815984726,0.33063507080078125,0.4344416558742523,-0.02968435175716877,0.07868267595767975,3.1602174086810098
M0,Tongji,S1->S2,2026,12000,1428000,0.500540018081665,0.15978224575519562,0.02649705298244953,0.1104847714304924,0.3083021342754364,0.4088439345359802,0.05417867377400398,0.12222936004400253,3.451020783672731
M0,Tongji,S1->S2,2705,12000,1428000,0.5145373940467834,0.15674720704555511,0.040017031133174896,0.10062603652477264,0.29111355543136597,0.38629019260406494,0.04696694388985634,0.1351112276315689,3.602754048743572
M0,Tongji,S2->S1,42,12000,1428000,0.4858977794647217,0.15759828686714172,0.027179790660738945,0.10762812942266464,0.29798105359077454,0.39407119154930115,0.01410130225121975,0.1062023714184761,3.3992619429185393
M0,Tongji,S2->S1,2026,12000,1428000,0.49433255195617676,0.15658901631832123,0.029946139082312584,0.10733209550380707,0.3035587966442108,0.3990243077278137,0.01866278238594532,0.12182805687189102,3.4593962570424144
M0,Tongji,S2->S1,2705,12000,1428000,0.5038357973098755,0.16206569969654083,0.03721147030591965,0.10724730044603348,0.3101353645324707,0.4099934995174408,0.054281484335660934,0.13588199019432068,3.395662762889704
M1,Tongji,S1->S2,42,12000,1428000,0.5756217241287231,0.15465281903743744,0.032082535326480865,0.161577507853508,0.43615785241127014,0.5512222051620483,0.015713363885879517,0.1683715283870697,3.4367919484951126
M1,Tongji,S1->S2,2026,12000,1428000,0.5447792410850525,0.15683183073997498,0.030868416652083397,0.12171560525894165,0.35010233521461487,0.4658125638961792,0.04714712128043175,0.1806609034538269,3.660956110155496
M1,Tongji,S1->S2,2705,12000,1428000,0.5499129891395569,0.1567430943250656,0.0272319708019495,0.11820995807647705,0.33356180787086487,0.4436054825782776,-0.005187015049159527,0.14744353294372559,3.76517051451657
M1,Tongji,S2->S1,42,12000,1428000,0.5373873114585876,0.14935731887817383,0.0258148442953825,0.12206468731164932,0.33262717723846436,0.43182075023651123,0.055909957736730576,0.16923362016677856,3.7506584627184476
M1,Tongji,S2->S1,2026,12000,1428000,0.5406265258789062,0.15655460953712463,0.02723883092403412,0.12361088395118713,0.34338879585266113,0.45698869228363037,0.0656609758734703,0.1556522399187088,3.6398120669296867
M1,Tongji,S2->S1,2705,12000,1428000,0.5409579873085022,0.16036304831504822,0.0349297896027565,0.1039009764790535,0.3019358813762665,0.40552330017089844,0.05420847237110138,0.13383397459983826,3.7451875293389874
M2,Tongji,S1->S2,42,12000,1428000,0.48138347268104553,0.15678748488426208,0.02965918555855751,0.10888242721557617,0.3058338761329651,0.40694811940193176,-0.0026340836193412542,0.10489998757839203,3.346670617489829
M2,Tongji,S1->S2,2026,12000,1428000,0.4832221269607544,0.16140791773796082,0.03619855269789696,0.10241720080375671,0.3001609742641449,0.39531344175338745,0.0170438215136528,0.1054057702422142,3.307123876256116
M2,Tongji,S1->S2,2705,12000,1428000,0.488734632730484,0.15992619097232819,0.03321149945259094,0.0946035385131836,0.2728429138660431,0.3663748800754547,0.020652536302804947,0.10675633698701859,3.466976859410208
M2,Tongji,S2->S1,42,12000,1428000,0.47973889112472534,0.15066567063331604,0.036725230515003204,0.1062467023730278,0.30462491512298584,0.3980540931224823,-0.018779242411255836,0.10977772623300552,3.3983341360373713
M2,Tongji,S2->S1,2026,12000,1428000,0.48800894618034363,0.164409339427948,0.04773343354463577,0.10081475973129272,0.30547937750816345,0.4048880636692047,0.008422287181019783,0.09922654181718826,3.228515036347083
M2,Tongji,S2->S1,2705,12000,1428000,0.48996230959892273,0.16245467960834503,0.04239823669195175,0.10496930032968521,0.3094078004360199,0.41064634919166565,-0.014797437004745007,0.10092956572771072,3.272471812905407
M4,Tongji,S1->S2,42,12000,1428000,0.49072590470314026,0.16103090345859528,0.017322460189461708,0.11106964200735092,0.30120718479156494,0.4065687358379364,0.0009605074301362038,0.08960786461830139,3.4224084187759374
