dataset,method,direction,seed,num_genuine,num_impostor,target_far,selected_threshold,empirical_far,tar,eer,eer_threshold,source_file
Tongji,B4,S2->S1,2705,12000,1428000,0.01,0.309440016746521,0.0099929971988795,0.8580833333333333,0.0525000000000019,0.2205321341753006,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B4,S2->S1,2705,12000,1428000,0.001,0.4106654822826385,0.0009971988795518,0.6848333333333333,0.0525000000000019,0.2205321341753006,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S1->S2,42,12000,1428000,0.01,0.3012093305587768,0.01,0.8680833333333333,0.0513137254888891,0.2075732946395874,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S1->S2,42,12000,1428000,0.001,0.4066219627857208,0.0009992997198879,0.71575,0.0513137254888891,0.2075732946395874,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S1->S2,2026,12000,1428000,0.01,0.2980124354362488,0.0099978991596638,0.8924166666666666,0.0430224089649653,0.2190420627593994,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S1->S2,2026,12000,1428000,0.001,0.3981024622917175,0.0009978991596638,0.7418333333333333,0.0430224089649653,0.2190420627593994,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S1->S2,2705,12000,1428000,0.01,0.2770754694938659,0.0099887955182072,0.91325,0.0390000000000001,0.2081074118614196,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S1->S2,2705,12000,1428000,0.001,0.3741798996925354,0.001,0.7931666666666667,0.0390000000000001,0.2081074118614196,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S2->S1,42,12000,1428000,0.01,0.2878090739250183,0.0099894957983193,0.8904166666666666,0.0455,0.2075758278369903,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S2->S1,42,12000,1428000,0.001,0.3841686844825744,0.001,0.7536666666666667,0.0455,0.2075758278369903,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S2->S1,2026,12000,1428000,0.01,0.3272432684898376,0.0099985994397759,0.84825,0.0529082633053041,0.2257861942052841,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S2->S1,2026,12000,1428000,0.001,0.4334110617637634,0.001,0.6715,0.0529082633053041,0.2257861942052841,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S2->S1,2705,12000,1428000,0.01,0.3092922568321228,0.0099740896358543,0.8561666666666666,0.0517499999999998,0.2156504988670349,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B5,S2->S1,2705,12000,1428000,0.001,0.4172068536281585,0.001,0.6831666666666667,0.0517499999999998,0.2156504988670349,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S1->S2,42,12000,1428000,0.01,0.3179987072944641,0.0099866946778711,0.8465833333333334,0.0572500000000001,0.2157407104969024,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S1->S2,42,12000,1428000,0.001,0.4218512773513794,0.001,0.6588333333333334,0.0572500000000001,0.2157407104969024,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S1->S2,2026,12000,1428000,0.01,0.2694881856441498,0.0099922969187675,0.88475,0.049177170869023,0.1898491829633712,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S1->S2,2026,12000,1428000,0.001,0.3665907680988312,0.001,0.7431666666666666,0.049177170869023,0.1898491829633712,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S1->S2,2705,12000,1428000,0.01,0.3215122520923614,0.0099971988795518,0.8525,0.0540000000003268,0.2249318808317184,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S1->S2,2705,12000,1428000,0.001,0.4259303510189056,0.0009978991596638,0.67,0.0540000000003268,0.2249318808317184,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S2->S1,42,12000,1428000,0.01,0.3003423810005188,0.0099985994397759,0.8404166666666667,0.0562499999999999,0.2055041342973709,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S2->S1,42,12000,1428000,0.001,0.3949648737907409,0.001,0.6796666666666666,0.0562499999999999,0.2055041342973709,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S2->S1,2026,12000,1428000,0.01,0.2764497697353363,0.0099985994397759,0.8923333333333333,0.0454166666666676,0.2001036256551742,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S2->S1,2026,12000,1428000,0.001,0.370294839143753,0.0009964985994397,0.758,0.0454166666666676,0.2001036256551742,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S2->S1,2705,12000,1428000,0.01,0.2972637116909027,0.0099964985994397,0.8578333333333333,0.0540833333333325,0.2054360210895538,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B6,S2->S1,2705,12000,1428000,0.001,0.4015155136585235,0.0009985994397759,0.67275,0.0540833333333325,0.2054360210895538,docs\results\threshold_evidence_strict_tongji.csv
