method,method_label,role,n_runs,Rank-1_mean_pp,Rank-1_sd_pp,Rank-5_mean_pp,Rank-5_sd_pp,Macro-F1_mean_pp,Macro-F1_sd_pp,EER_mean_pp,EER_sd_pp,TAR@FAR=1e-2_mean_pp,TAR@FAR=1e-2_sd_pp,TAR@FAR=1e-3_mean_pp,TAR@FAR=1e-3_sd_pp
B1,B1 CE+SupCon,Learned baseline,6,93.38888824,3.265843726654322,96.95833524,1.815634858818376,92.71283043333334,3.761350603002849,4.254855275,0.7185021169739627,88.63055555555555,3.651277047017123,71.77083333333333,7.324668650071027
B6,B6 BNNeck+ArcFace,Hypothesized BNNeck+ArcFace variant,6,92.20833380833334,1.6756006697944752,95.95833222,1.0989268679555595,91.40534973333332,1.797413278394853,5.2696195150000005,0.4524727461058479,86.24027777777779,2.120294899999283,69.70694444444443,4.225288999539512
