metric,n,mean_delta_pp,sd_delta_pp,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,exact_sign_flip_p_two_sided,directionality,mean_interpretation
Rank-1,6,-1.180554429690043,3.2606276519390325,-3.319441278775533,1.2638876835505166,0.46875,higher_is_better,M6 worse
Rank-5,6,-1.0000030199686685,1.8737963493541958,-2.3472249507904053,0.38888653119405114,0.25,higher_is_better,M6 worse
Macro-F1,6,-1.307480698037189,3.623401625681678,-3.67208007364207,1.4410673561315313,0.46875,higher_is_better,M6 worse
EER,6,1.0147642390319584,0.7306264404062244,0.47873482727994354,1.5230158730061794,0.03125,lower_is_better,M6 worse
TAR@FAR=1e-2,6,-2.3902777777777735,4.146053735068331,-5.2902777777777725,0.5847222222222244,0.25,higher_is_better,M6 worse
TAR@FAR=1e-3,6,-2.068055555555555,8.91230020294466,-8.469444444444445,3.6180555555555607,0.5625,higher_is_better,M6 worse
