method,method_label,direction,seed,total_pairs,genuine_pairs,impostor_pairs,min_empirical_far_step,roc_points,reported_eer,nearest_eer,nearest_eer_threshold,interpolated_eer,eer_interpolation_status,reported_tar_far_1e_2,nearest_far_0.01,nearest_far_abs_error_0.01,tar_at_nearest_far_0.01,threshold_at_nearest_far_0.01,max_far_le_0.01,tar_at_max_far_le_0.01,threshold_at_max_far_le_0.01,reported_tar_far_1e_3,nearest_far_0.001,nearest_far_abs_error_0.001,tar_at_nearest_far_0.001,threshold_at_nearest_far_0.001,max_far_le_0.001,tar_at_max_far_le_0.001,threshold_at_max_far_le_0.001,verdict,notes,metrics_path,scores_path
B1,ResNet18 + CE + SupCon,S2->S1,2026,1440000,12000,1428000,7.002801120448179e-07,35202,0.04324999999999815,0.043252100840336136,0.2538644075393677,0.04324999999999815,brentq_interp1d,0.88725,0.010010504201680672,1.0504201680671885e-05,0.88725,0.3433466255664825,0.009978991596638655,0.88725,0.3434627950191498,0.7028333333333333,0.0010007002801120449,7.002801120448501e-07,0.7028333333333333,0.4569886922836303,0.000996498599439776,0.7028333333333333,0.4570596814155578,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B1,ResNet18 + CE + SupCon,S2->S1,2705,1440000,12000,1428000,7.002801120448179e-07,34134,0.0388984593834199,0.038898459383753504,0.2304130047559738,0.0388984593834199,brentq_interp1d,0.91875,0.01000140056022409,1.4005602240897003e-06,0.91875,0.3019311428070068,0.009986694677871149,0.91875,0.3019948005676269,0.8053333333333333,0.0010014005602240897,1.4005602240897003e-06,0.8053333333333333,0.40550097823143,0.0009978991596638655,0.8053333333333333,0.4056186079978943,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B4,ResNet18 + ArcFace,S1->S2,42,1440000,12000,1428000,7.002801120448179e-07,36375,0.05374999999999997,0.053679271708683474,0.2119275629520416,0.05374999999999997,brentq_interp1d,0.8621666666666666,0.009994397759103641,5.602240896358801e-06,0.8621666666666666,0.3058592081069946,0.009994397759103641,0.86225,0.3058573603630066,0.6876666666666666,0.001,0.0,0.6876666666666666,0.4069909453392029,0.001,0.68775,0.4069896042346954,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42/scores.csv
B4,ResNet18 + ArcFace,S1->S2,2026,1440000,12000,1428000,7.002801120448179e-07,36672,0.053706582633131016,0.053706582633053224,0.2083799690008163,0.053706582633131016,brentq_interp1d,0.8601666666666666,0.01000420168067227,4.201680672269101e-06,0.8601666666666666,0.3001545965671539,0.009981792717086834,0.8601666666666666,0.3003032505512237,0.7109166666666666,0.0010007002801120449,7.002801120448501e-07,0.7109166666666666,0.3953134417533874,0.0009950980392156863,0.7109166666666666,0.3953928649425506,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2026/scores.csv
B4,ResNet18 + ArcFace,S1->S2,2705,1440000,12000,1428000,7.002801120448179e-07,36172,0.04050000000015942,0.04047478991596638,0.205211192369461,0.04050000000015942,brentq_interp1d,0.9065,0.010002100840336134,2.100840336133683e-06,0.9065,0.2728309035301208,0.009981792717086834,0.9065,0.2729252278804779,0.7685,0.001,0.0,0.7685,0.3664580285549164,0.001,0.76875,0.366405725479126,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2705/metrics.json,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2705/scores.csv
B4,ResNet18 + ArcFace,S2->S1,42,1440000,12000,1428000,7.002801120448179e-07,36737,0.04633263305263878,0.04633263305322129,0.2242812812328338,0.04633263305263878,brentq_interp1d,0.87875,0.009993697478991597,6.302521008402784e-06,0.87875,0.3046647906303406,0.009993697478991597,0.8788333333333334,0.3046535551548004,0.7028333333333333,0.0009985994397759103,1.4005602240897003e-06,0.7028333333333333,0.39809250831604,0.0009985994397759103,0.7029166666666666,0.3980675935745239,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed42/metrics.json,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed42/scores.csv
B4,ResNet18 + ArcFace,S2->S1,2026,1440000,12000,1428000,7.002801120448179e-07,38997,0.05637394958135694,0.05637394957983193,0.214011088013649,0.05637394958135694,brentq_interp1d,0.8546666666666667,0.009990196078431372,9.803921568627902e-06,0.8546666666666667,0.3055408298969269,0.009990196078431372,0.85475,0.3055386245250702,0.6928333333333333,0.0010028011204481792,2.8011204481791837e-06,0.6928333333333333,0.4048617780208587,0.0009971988795518206,0.6928333333333333,0.4049965441226959,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2026/metrics.json,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2026/scores.csv
B4,ResNet18 + ArcFace,S2->S1,2705,1440000,12000,1428000,7.002801120448179e-07,37859,0.052500000000001934,0.052462885154061625,0.2205321341753006,0.052500000000001934,brentq_interp1d,0.8580833333333333,0.01000280112044818,2.8011204481794005e-06,0.8580833333333333,0.3093922138214111,0.009992997198879552,0.8580833333333333,0.309440016746521,0.6848333333333333,0.0010007002801120449,7.002801120448501e-07,0.6848333333333333,0.4106463491916656,0.0009971988795518206,0.6848333333333333,0.4106654822826385,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2705/metrics.json,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2705/scores.csv
B5,ResNet18 + BNNeck + CE,S1->S2,42,1440000,12000,1428000,7.002801120448179e-07,34939,0.051313725488889156,0.051313725490196076,0.2075732946395874,0.051313725488889156,brentq_interp1d,0.868,0.01,0.0,0.868,0.3012093603610992,0.01,0.8680833333333333,0.3012093305587768,0.7156666666666667,0.0009992997198879552,7.002801120448501e-07,0.7156666666666667,0.4066362977027893,0.0009992997198879552,0.71575,0.4066219627857208,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/metrics.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/scores.csv
B5,ResNet18 + BNNeck + CE,S1->S2,2026,1440000,12000,1428000,7.002801120448179e-07,33902,0.04302240896496534,0.04302240896358543,0.2190420627593994,0.04302240896496534,brentq_interp1d,0.8923333333333333,0.009997899159663865,2.1008403361354178e-06,0.8923333333333333,0.2980141937732696,0.009997899159663865,0.8924166666666666,0.2980124354362488,0.7418333333333333,0.0010021008403361344,2.1008403361343336e-06,0.7418333333333333,0.3980564475059509,0.0009978991596638655,0.7418333333333333,0.3981024622917175,PASS,"scores.csv counts verified; metrics use sklearn roc_curve, brentq EER if available, and nearest empirical FPR for TAR@FAR.",experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/metrics.json,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/scores.csv
